2446C8A8C839,AP-TRJ-W-20,2020-10-31T18:29:12.822Z,341454.8874
2446C8A8C839,AP-TRJ-W-20,2020-10-31T18:30:12.822Z,341454.8874
2446C8A8C839,AP-TRI-O-04,2020-10-31T18:30:12.822Z,501187.2336
2446C8A8C839,AP-TRI-O-16,2020-10-31T18:30:12.822Z,429866.2347
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:30:12.822Z,541169.5265
2446C8A8C839,AP-TRI-O-16,2020-10-31T18:31:12.822Z,429866.2347
2446C8A8C839,AP-TRI-O-04,2020-10-31T18:31:12.822Z,501187.2336
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:31:12.822Z,541169.5265
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:32:12.822Z,63095.7344
2446C8A8C839,AP-E04-P4-E-05,2020-10-31T18:32:12.822Z,584341.4134
2446C8A8C839,AP-E04-P4-E-05,2020-10-31T18:33:12.822Z,584341.4134
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:33:12.822Z,63095.7344
2446C8A8C839,AP-E04-P4-E-05,2020-10-31T18:34:12.822Z,584341.4134
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:34:12.822Z,125892.5412
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:35:12.822Z,92611.8728
2446C8A8C839,AP-E04-P4-E-05,2020-10-31T18:35:12.822Z,541169.5265
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:36:12.821Z,125892.5412
2446C8A8C839,AP-E04-P4-E-05,2020-10-31T18:36:12.821Z,541169.5265
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:37:12.822Z,73564.2254
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:38:12.822Z,630957.3445
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:39:12.822Z,158489.3192
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:40:12.822Z,107977.5162
2446C8A8C839,AP-E04-P4-E-05,2020-10-31T18:41:12.822Z,584341.4134
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:41:12.822Z,107977.5162
2446C8A8C839,AP-E04-P4-A-19,2020-10-31T18:42:12.822Z,85769.5899
